name,area,created_at,current_price,change_rate,road_address,latitude,longitude,variants,price_2024,image,price_2022,price_2023,price_2025
삼성,84.91,2022-01-01 00:00:00,220000.0,-4.55,남부순환로379길 14,37.4893275646597,127.046311637478,"[{'전용면적(㎡)': 84.91, '거래금액(만원)': 220000.0}, {'전용면적(㎡)': 80.75, '거래금액(만원)': 210000.0}, {'전용면적(㎡)': 73.41, '거래금액(만원)': 190000.0}, {'전용면적(㎡)': 59.86, '거래금액(만원)': 172000.0}, {'전용면적(㎡)': 54.81, '거래금액(만원)': 170000.0}]",210000.0,,220000.0,,
삼성3차,144.09,2024-01-01 00:00:00,290000.0,81.25,도곡로78길 13,37.4975460793057,127.060155261056,"[{'전용면적(㎡)': 144.09, '거래금액(만원)': 290000.0}, {'전용면적(㎡)': 84.78, '거래금액(만원)': 160000.0}]",290000.0,,,160000.0,
삼성동롯데아파트,91.77,2024-01-01 00:00:00,240000.0,,학동로 432,37.5182040108372,127.048697131099,"[{'전용면적(㎡)': 91.77, '거래금액(만원)': 240000.0}, {'전용면적(㎡)': 84.87, '거래금액(만원)': 227000.0}, {'전용면적(㎡)': 59.4, '거래금액(만원)': 185000.0}]",240000.0,,,,
삼성동롯데캐슬킹덤,170.8,2023-01-01 00:00:00,298000.0,-28.86,선릉로112길 53,37.513436129267,127.047692784414,"[{'전용면적(㎡)': 170.8, '거래금액(만원)': 298000.0}, {'전용면적(㎡)': 131.65, '거래금액(만원)': 250000.0}, {'전용면적(㎡)': 123.97, '거래금액(만원)': 248000.0}, {'전용면적(㎡)': 148.5, '거래금액(만원)': 212000.0}]",212000.0,,,298000.0,
삼성동브라운스톤레전드,219.48,2022-01-01 00:00:00,440000.0,-2.73,선릉로 660,37.5155511161052,127.042332457469,"[{'전용면적(㎡)': 219.48, '거래금액(만원)': 440000.0}, {'전용면적(㎡)': 204.1, '거래금액(만원)': 428000.0}, {'전용면적(㎡)': 201.65, '거래금액(만원)': 334000.0}]",,,440000.0,428000.0,
삼성동센트럴아이파크,103.32,2024-01-01 00:00:00,349000.0,9.06,삼성로 629,37.5157864094542,127.051319226082,"[{'전용면적(㎡)': 103.32, '거래금액(만원)': 349000.0}, {'전용면적(㎡)': 84.98, '거래금액(만원)': 326000.0}, {'전용면적(㎡)': 59.96, '거래금액(만원)': 250000.0}, {'전용면적(㎡)': 49.94, '거래금액(만원)': 169000.0}]",349000.0,,,320000.0,
삼성동신도브래뉴,104.191,2022-01-01 00:00:00,120000.0,,삼성로103길 12,37.5103690964957,127.053410791714,"[{'전용면적(㎡)': 104.191, '거래금액(만원)': 120000.0}]",,,120000.0,,
삼성동신영지웰,215.45,2024-01-01 00:00:00,263000.0,,봉은사로 448,37.511456156165,127.048835713889,"[{'전용면적(㎡)': 215.45, '거래금액(만원)': 263000.0}]",263000.0,,,,
삼성동중앙하이츠빌리지,152.98,2023-01-01 00:00:00,387000.0,-22.35,학동로68길 30,37.5165797525495,127.046509909248,"[{'전용면적(㎡)': 152.98, '거래금액(만원)': 387000.0}, {'전용면적(㎡)': 84.87, '거래금액(만원)': 264000.0}, {'전용면적(㎡)': 59.98, '거래금액(만원)': 218000.0}]",205000.0,,264000.0,387000.0,
삼성동한솔아파트,109.51,2024-01-01 00:00:00,200000.0,,학동로64길 7,37.5176478585343,127.045438795789,"[{'전용면적(㎡)': 109.51, '거래금액(만원)': 200000.0}, {'전용면적(㎡)': 85.0, '거래금액(만원)': 186000.0}, {'전용면적(㎡)': 58.57, '거래금액(만원)': 163000.0}]",200000.0,,,,
삼성동헤렌하우스2(82-1),217.86,2022-01-01 00:00:00,500000.0,,영동대로128길 45,37.5193741361681,127.061117435288,"[{'전용면적(㎡)': 217.86, '거래금액(만원)': 500000.0}, {'전용면적(㎡)': 233.68, '거래금액(만원)': 445000.0}]",,,445000.0,,
삼성동힐스테이트 1단지,114.463,2023-01-01 00:00:00,380000.0,121.18,학동로68길 29,37.5165602922999,127.04718779295,"[{'전용면적(㎡)': 114.463, '거래금액(만원)': 380000.0}, {'전용면적(㎡)': 84.236, '거래금액(만원)': 288000.0}, {'전용면적(㎡)': 31.402, '거래금액(만원)': 127500.0}, {'전용면적(㎡)': 26.5, '거래금액(만원)': 105000.0}]",282000.0,,127500.0,380000.0,
삼성래미안,122.81,2024-01-01 00:00:00,330000.0,,남부순환로 2803,,,"[{'전용면적(㎡)': 122.81, '거래금액(만원)': 330000.0}, {'전용면적(㎡)': 84.89, '거래금액(만원)': 270000.0}, {'전용면적(㎡)': 89.88, '거래금액(만원)': 264000.0}, {'전용면적(㎡)': 59.96, '거래금액(만원)': 218000.0}]",330000.0,,,,
삼성리치빌1,84.98,2024-01-01 00:00:00,160000.0,,학동로82길 6,37.5183842278921,127.051214674812,"[{'전용면적(㎡)': 84.98, '거래금액(만원)': 160000.0}]",160000.0,,,,
삼성오네뜨,153.53,2023-01-01 00:00:00,240000.0,-12.92,테헤란로79길 42,37.5097950323093,127.054276536049,"[{'전용면적(㎡)': 153.53, '거래금액(만원)': 240000.0}, {'전용면적(㎡)': 144.43, '거래금액(만원)': 209000.0}]",209000.0,,,240000.0,
삼성월드타워,84.202,2023-01-01 00:00:00,160000.0,,학동로 408,37.5174731272221,127.044082881755,"[{'전용면적(㎡)': 84.202, '거래금액(만원)': 160000.0}]",,,,160000.0,
삼성청담공원아파트,107.22,2022-01-01 00:00:00,235000.0,-14.89,도산대로96길 39,37.5230042633715,127.050463180352,"[{'전용면적(㎡)': 107.22, '거래금액(만원)': 235000.0}, {'전용면적(㎡)': 84.96, '거래금액(만원)': 200000.0}, {'전용면적(㎡)': 59.93, '거래금액(만원)': 163000.0}]",200000.0,,235000.0,,
삼성청담아파트,129.16,2024-01-01 00:00:00,262000.0,,학동로 405,37.5178177150654,127.04223600519,"[{'전용면적(㎡)': 129.16, '거래금액(만원)': 262000.0}, {'전용면적(㎡)': 114.83, '거래금액(만원)': 243000.0}, {'전용면적(㎡)': 84.86, '거래금액(만원)': 210000.0}, {'전용면적(㎡)': 59.99, '거래금액(만원)': 162000.0}]",262000.0,,,,
삼성풍림2차아파트,59.94,2024-01-01 00:00:00,159700.0,,봉은사로105길 12-7,37.5160235996074,127.06244887977,"[{'전용면적(㎡)': 59.94, '거래금액(만원)': 159700.0}]",159700.0,,,,
삼익,153.71,2024-01-01 00:00:00,263000.0,22.33,광평로51길 27,37.4896147291453,127.100730117136,"[{'전용면적(㎡)': 153.71, '거래금액(만원)': 263000.0}, {'전용면적(㎡)': 104.01, '거래금액(만원)': 215000.0}, {'전용면적(㎡)': 84.48, '거래금액(만원)': 188500.0}, {'전용면적(㎡)': 60.0, '거래금액(만원)': 165000.0}, {'전용면적(㎡)': 49.2, '거래금액(만원)': 129000.0}]",263000.0,,215000.0,,
삼익대청아파트,60.0,2024-01-01 00:00:00,177500.0,13.06,개포로109길 21,37.4956264931259,127.077191033018,"[{'전용면적(㎡)': 60.0, '거래금액(만원)': 177500.0}, {'전용면적(㎡)': 51.12, '거래금액(만원)': 157000.0}, {'전용면적(㎡)': 39.53, '거래금액(만원)': 132500.0}]",177500.0,,157000.0,,
삼호빌라A동,196.53,2024-01-01 00:00:00,330000.0,,도산대로83길 43,37.527266809274,127.048760039738,"[{'전용면적(㎡)': 196.53, '거래금액(만원)': 330000.0}]",330000.0,,,,
삼환(101동),114.97,2024-01-01 00:00:00,230000.0,16.16,학동로77길 49,37.5221283395974,127.047566189072,"[{'전용면적(㎡)': 114.97, '거래금액(만원)': 230000.0}, {'전용면적(㎡)': 99.01, '거래금액(만원)': 198000.0}, {'전용면적(㎡)': 84.98, '거래금액(만원)': 180000.0}]",230000.0,,198000.0,160000.0,
